date,open,close,high,low,volume
2026-02-27,4.750,4.880,4.920,4.740,6611560.000
2026-03-02,4.800,4.860,4.940,4.780,5429067.000
2026-03-03,4.860,4.660,4.910,4.650,4982676.000
2026-03-04,4.630,4.650,4.790,4.610,4218142.000
2026-03-05,4.750,4.890,4.990,4.750,7922562.000
2026-03-06,4.810,4.750,4.820,4.640,6341718.000
2026-03-09,4.640,4.680,4.710,4.560,5603528.000
2026-03-10,4.770,4.740,4.850,4.720,3844333.000
2026-03-11,4.710,4.790,4.820,4.710,4185815.000
2026-03-12,4.770,4.800,4.860,4.720,4351863.000
2026-03-13,4.760,4.740,4.840,4.720,3910037.000
2026-03-16,4.720,4.570,4.740,4.520,6564087.000
2026-03-17,4.580,4.480,4.620,4.480,4007183.000
2026-03-18,4.510,4.480,4.520,4.390,3700992.000
2026-03-19,4.420,4.380,4.440,4.360,3131580.000
2026-03-20,4.400,4.340,4.470,4.330,3425855.000
2026-03-23,4.250,4.110,4.260,4.090,5477966.000
2026-03-24,4.170,4.270,4.280,4.110,3440335.000
2026-03-25,4.280,4.250,4.310,4.220,3308800.000
2026-03-26,4.240,4.180,4.270,4.160,2411538.000
2026-03-27,4.160,4.240,4.250,4.150,2229570.000
2026-03-30,4.180,4.270,4.270,4.170,3063629.000
2026-03-31,4.240,4.180,4.270,4.170,3122175.000
2026-04-01,4.240,4.230,4.250,4.180,3016312.000
2026-04-02,4.200,4.110,4.210,4.090,3604426.000
2026-04-03,4.110,4.070,4.140,4.060,2089945.000
2026-04-07,4.080,4.050,4.100,4.020,2017928.000
2026-04-08,4.160,4.220,4.230,4.090,4637591.000
2026-04-09,4.170,4.200,4.210,4.150,2586183.000
2026-04-10,4.250,4.250,4.310,4.240,3476571.000
2026-04-13,4.210,4.240,4.280,4.170,2840250.000
2026-04-14,4.290,4.290,4.350,4.260,3228589.000
2026-04-15,4.310,4.260,4.320,4.250,2710320.000
2026-04-16,4.270,4.240,4.270,4.170,3250953.000
2026-04-17,4.230,4.210,4.260,4.190,2382248.000
2026-04-20,4.220,4.280,4.320,4.210,3831039.000
2026-04-21,4.270,4.250,4.290,4.190,3548241.000
2026-04-22,4.220,4.260,4.280,4.210,3353678.000
2026-04-23,4.260,4.170,4.270,4.150,3829516.000
2026-04-24,4.160,4.140,4.160,4.080,2853444.000
2026-04-27,4.130,4.210,4.250,4.110,3779291.000
2026-04-28,4.210,4.170,4.240,4.140,3100350.000
2026-04-29,4.150,4.230,4.240,4.130,4173383.000
2026-04-30,4.320,4.180,4.380,4.170,6957944.000
2026-05-06,4.200,4.200,4.230,4.150,5997088.000
2026-05-07,4.260,4.210,4.320,4.200,6900663.000
2026-05-08,4.190,4.130,4.200,4.090,6493101.000
2026-05-11,4.150,4.250,4.290,4.150,9135259.000
2026-05-12,4.260,4.180,4.260,4.170,5329193.000
2026-05-13,4.170,4.280,4.280,4.160,5515192.000
2026-05-14,4.280,4.190,4.320,4.190,4623411.000
2026-05-15,4.220,4.090,4.240,4.080,6763993.000
2026-05-18,4.090,4.130,4.160,4.030,4317445.000
2026-05-19,4.110,4.210,4.220,4.070,4846094.000
2026-05-20,4.180,4.140,4.200,4.090,4486764.000
2026-05-21,4.470,4.280,4.560,4.150,23881940.000
2026-05-22,4.160,4.290,4.360,4.040,19596776.000
2026-05-25,4.290,4.350,4.420,4.240,12381839.000
2026-05-26,4.290,4.560,4.640,4.280,16752598.000
2026-05-27,4.570,4.590,4.840,4.520,15703706.000
2026-05-28,4.510,4.500,4.600,4.390,9801139.000
2026-05-29,4.480,4.190,4.480,4.170,11156233.000
2026-06-01,4.180,4.310,4.440,4.180,10253294.000
2026-06-02,4.290,4.340,4.360,4.170,7858500.000
2026-06-03,4.570,4.650,4.780,4.570,23853333.000
2026-06-04,4.630,4.830,4.940,4.590,21305466.000
2026-06-05,4.800,4.800,5.060,4.730,18851179.000
2026-06-08,4.650,4.560,4.800,4.520,13012086.000
2026-06-09,4.650,4.770,4.810,4.540,12178315.000
2026-06-10,4.680,4.580,4.690,4.490,10210781.000
2026-06-11,4.550,4.510,4.600,4.450,8927828.000
2026-06-12,4.590,4.550,4.650,4.450,12013767.000
2026-06-15,4.570,4.620,4.660,4.530,9240689.000
2026-06-16,4.600,4.650,4.780,4.590,10527583.000
2026-06-17,4.600,5.120,5.120,4.590,21313148.000
2026-06-18,5.210,5.000,5.240,4.980,18041617.000
2026-06-22,5.100,4.990,5.170,4.900,14953751.000
2026-06-23,4.940,4.850,5.010,4.800,11226547.000
2026-06-24,4.800,4.850,4.950,4.750,11765944.000
2026-06-25,5.070,5.340,5.340,5.020,22584806.000
2026-06-26,5.360,5.400,5.670,5.290,24403472.000
